2020-03-31 13:26:53 INFO    iniciando : chile con 0 pasos
2020-03-31 13:26:54 INFO    agegando 20 pasos
2020-03-31 13:26:55 INFO    infectados a 0
2020-03-31 13:26:55 INFO    pasa un dia : chile : (0/3000) quedan 19 dias
2020-03-31 13:26:56 INFO    infectados a 0
2020-03-31 13:26:56 INFO    pasa un dia : chile : (0/3000) quedan 18 dias
2020-03-31 13:26:57 INFO    infectados a 0
2020-03-31 13:26:57 INFO    pasa un dia : chile : (0/3000) quedan 17 dias
2020-03-31 13:26:58 INFO    infectados a 0
2020-03-31 13:26:58 INFO    pasa un dia : chile : (0/3000) quedan 16 dias
2020-03-31 13:26:59 INFO    infectados a 0
2020-03-31 13:26:59 INFO    pasa un dia : chile : (0/3000) quedan 15 dias
2020-03-31 13:27:00 INFO    infectados a 0
2020-03-31 13:27:00 INFO    pasa un dia : chile : (0/3000) quedan 14 dias
2020-03-31 13:27:01 INFO    infectados a 0
2020-03-31 13:27:01 INFO    pasa un dia : chile : (0/3000) quedan 13 dias
2020-03-31 13:27:02 INFO    infectados a 0
2020-03-31 13:27:02 INFO    pasa un dia : chile : (0/3000) quedan 12 dias
2020-03-31 13:27:03 INFO    infectados a 0
2020-03-31 13:27:03 INFO    pasa un dia : chile : (0/3000) quedan 11 dias
2020-03-31 13:27:04 INFO    infectados a 0
2020-03-31 13:27:04 INFO    nuevo viajero : chile (aire) -> peru saludable
2020-03-31 13:27:04 INFO    pasa un dia : chile : (0/2999) quedan 10 dias
2020-03-31 13:27:05 INFO    infectados a 0
2020-03-31 13:27:05 INFO    pasa un dia : chile : (0/2999) quedan 9 dias
2020-03-31 13:27:06 INFO    infectados a 0
2020-03-31 13:27:06 INFO    pasa un dia : chile : (0/2999) quedan 8 dias
